Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
Design: building on country,"Page, Alison|Memmott, Paul","Melbourne: Thames & Hudson, 2021",Aboriginal Australians - Architecture and Society|Aboriginal Australians - Social Life and Customs,305.89915 PAG,Brisbane|Sydney,1/06/2021,1/06/2021
Designed for urban living : recent medium-density group housing in Australia,"Judd, Bruce","Red Hill, ACT: RAIA, 1993",Medium Density Housing - Australia,728.310994 JUD,Brisbane,,
Designer apartments,"Fajardo, Julio","Spain: Loft Publications, 2007",Minimal Architecture|Apartments|Interior Design|Renovations,728. 31 FAJ,Brisbane,,15/08/2008
Designing circulation areas,"Schittich, Christian (ed)",,Staircases|Stairs|Lifts|Ramps|Walkways,721.832 DES,Sydney,10/16/2013,
"Designing cities: basics, principles, projects","Schenk, Leonhard","Basel: Birkha¨user, 2013",City Planning|Urban Planning,711.4 SCH,Sydney,8/13/2015,
Designing for cyclists : a guide to good practice,Essex City Council,"Watford, England: BRE Press, 2006",Bicycle Paths,388.41 DES,Sydney,9/11/2006,
Designing for pedestrians : a guide to good practice,Essex City Council,"Watford, England: BRE Press, 2006",Pedestrian Facilities|Pedestrians,388.41 DES,Brisbane|Sydney,9/11/2006,21/05/2010
Designing for success : the office,"Crafti, Peter","Melbourne: Images Publishing Group, 2004",Office Buildings|Office Fitouts|Workplace Design,725.23 CRA,Brisbane,,30/05/2017
Designing for the climate emergency: a guide for architecture students,"Pelsmakers, Sofie et al",London: RIBA Publishing 2022,Architecture and Climate Change|Climate Change|Sustainable Architecture,720.47 DES,Brisbane|Sydney,6/28/2022,6/28/2022
Designing for the digital age: how to create human-centered products and services,"Goodwin, Kim","Indianapolis, IN: Wiley, 2009",Digital Technology|Industrial Design,745.2 GOO,Sydney,21/03/2018,
Designing for the third age: architecture redefined for a generation of 'Active Agers',"Farrelly, Lorraine (ed)","Hoboken, NJ: Wiley, 2014",Aged Care Facilities|Nursing Homes,725.56 AD,Brisbane,,10/20/2014
Designing outdoor spaces for people with dementia,,"Greenwich, NSW: Hammond Press and DSDC, 2012",Dementia|Aged Care Facilities|Landscape Design|Gardens - Therapeutic Use|Nursing Homes,725.56 POL,Brisbane,,10/20/2014
Designing the sustainable school,"Ford, Alan","Melbourne: Images Publishing Group, 2007",Architecture and Climate|Educational Buildings|Schools,727 FOR,Brisbane|Sydney,14/07/2008,30/05/2017
Designing the world's best : children's hospitals  - the future of healing environments,"Komiske, Bruce King (ed)",Melbourne: Images Publishing 2005,Children's Hospitals|Hospitals - Design and Construction - Case Studies,725.57 DES,Sydney,11/14/2013,
Designing with country,"BVN|O'Brien, Kevin",,Designing With Country|Working With First Nations|Indigenous Architecture,720.9 BVN,Brisbane|Sydney,7/05/2022,
Designing with glass: great glass buildings 50 modern classics,"Hyatt, Peter|Hyatt, Jennifer","Melbourne: Images Publishing Group, 2004",Glass in Architecture,721.04496 HYA,Brisbane|Sydney,11/03/2009,7/22/2013
Designing with light,"Meyers, Victoria","London: Laurence King, 2006",Interior Design|Light in Architecure|Lighting,729 MEY,Sydney,14/07/2010,
Designing with plants,"Wo¨hrle, Regine Ellen|Wo¨hrle, Hans-Jo¨rg","Basel: Birkha¨user, 2008",Plants,715 WOH,Sydney,11/18/2013,
"Designthinkingdrawing: ideas and techniques on how to design, think and draw urbanism and architecture","Richards, Peter","Toowong, QLD: Peter Richards, 2018",Drawing - Technique|Architectural Drawing|Architectural Design,720.284 RIC,Brisbane|Sydney,16/03/2021,16/03/2021
Destination art,"Dempsey, Amy","London: Thames &  Hudson, 2011",Art and Architecture|Public Art|Sculpture,709.04 DEM,Sydney,1/16/2012,
Detail in contemporary residential architecture,"McLeod, Virginia","London: Laurence King, 2007",Houses|Housing,728.370222 MCL,Brisbane,,1/11/2017
Detail in contemporary timber architecture,"McLeod, Virginia","London: Laurence King, 2010",Timber in Architecture|Timber Structures,721.0488 McL,Sydney,7/29/2014,
Detailing for water: why do buildings leak?,"Bonaldi, Rico J","Melbourne: Bonaldi Architects, [2007]",Waterproofing,721.0994 BON,Brisbane|Sydney,21/01/2009,17/09/2007
Details for buildings,National Precast Concrete Association Australia,"[NSW]: National Precast Concrete Association Australia, 2013",Concrete - Precast,691 DET,Sydney,3/05/2015,
Details in architecture : creative detailing by leading architects,,"Melbourne: The Images Publishing Group, 2009",Architecture,721 DET,Brisbane,,
Details in architecture 2 : creative detailing by some of the world's leading architects,,"Melbourne: The Images Publishing Group, 2000",Architecture,721 DET 2,Brisbane,,Aug 2001 (JJV)
Details in architecture 3 : creative detailing by some of the world's leading architects,,"Melbourne: Images Publishing Group, 2001",Architecture,721 DET,Brisbane|Sydney,7/08/2006,Dec-01
Details in Australian architecture Volume 2,"Pegrum, Roger","Canberra: RAIA Education Division, 1987",,720.994 PEG,Brisbane,,
Details in contemporary architecture,"Killory, Christine|Davids, Rene","New York: Princeton Architectural Press, 2007","Architecture, Modern - 21st Century|Architecture - North America|Architecture and Technology",721 KIL,Brisbane,,30/05/2017
Details of modern architecture,"Ford, Edward","Cambridge, Massachusetts: MIT, 1990","Architectural Details|Architecture, Modern - 20th Century|Gropius, Walter|Lutyens, Edwin|Le Corbusier|Mies van der Rohe, Ludwig|Wright, Frank Lloyd",724.5 FOR,Sydney,7/08/2006,
Development planning report,,,,Archives SYD00670031,Sydney,,
"Dewey Decimal Classification (DDC) Ed 14
Client & Architect Agreement (Long Form), Oct 1993
Client & Architect Agreement (Long Form), July 2005
Architect & Sub-Conultant Agreement, 1999 (Long Form)",,,,Archives SYD03584085,Sydney,,
Dezeen book of ideas,"Fairs, Marcus (ed)","London: Spotlight Press, 2011",Design,On order 05/13,Sydney,5/20/2013,
"Diagnostic and treatment centres : ACAD, Central Middlesex Hospital, an evaluation",NHS Estates,"London: Stationary office, 2001",Ambulatory Care Facilities|Hospitals - Design and Construction|Diagnostic Facilities,725.51 ACAD,Sydney,23/04/2009,
Dialogue mapping: building shared understanding of wicked problems,"Conklin, Jeffrey","Hoboken, NJ: Wiley, 2006",Meetings|Project Management,658.4 CON,Brisbane,,9/22/2014
Dictionary of today's landscape designers,"Nicolin, Pierluigi|Repishti, Francesco","Milan, Italy: Skira, 2003",Landscape Design,712.03 DIC,Sydney,5/12/2007,
Digital architecture now : a global survey of emerging talent,"Spiller, Neil","London : Thames & Hudson, 2009",Computer-Aided Design (CAD)|Digital Architecture,721.0285 SPI,Sydney,13/04/2010,
Digital modelling for urban design,"McGrath, Brian","Hoboken, N.J. : Wiley ; Chichester : John Wiley, 2008",City Planning|Digital Architecture,307.1216 McG,Brisbane,,7/08/2009
Digital places: building our city of bits,"Horan, Thomas A","Washington: Urban Land Institute, 2000",Architectural Philosophy|Urban Planning,720.105 HOR,Brisbane,,
Digital processes: planning design production,"Hauschild, Moritz|Karzel, Rudiger","Basel: Birkhauser, 2011",Architecture and Computers|Digital Architecture,721.018 DET,Brisbane|Sydney,3/17/2011,6/04/2011
DIN EN 14904: 2006-06 Surfaces for sports areas - Indoor surfaces for multi-sports use - Specification,,,Sports Buildings|Sports Facilities,Reference,Sydney,17/08/2010,
Disciplines and disruption,"Lamere, Joel (ed)","ACADIA, 2017",Computer-Aided Design (CAD)|Architecture and Computers,721.08 ACADIA,Brisbane|Sydney,7/12/2022,8/02/2022
Discover Queensland heritage,,"Brisbane: Pictorial Press, 2006",Historic Buildings - Queensland,720.9943 DIS,Brisbane,,1/05/2007
"Dishonoured games : corruption , money and greed at the Olympics","Simon, Vyv|Jennings, Andrew","NY : SPI Books, 1992",Olympic Games - History,796.48 SIM,Sydney,1/11/2007,
Distributed workplace : sustainable work environments,"Harrison, Andrew (ed)","London: DEGW plc, 2004",Environmentally Sustainable Design (ESD)|Workplace Design,725.23 DIS,Sydney,19/01/2006,
Document control recommended practice,"Tchao, Julie","London: Consepsys, 2017",Document Control,025.1 TCH,Sydney,1/09/2020,
Donovan Hill 1992 - 2010,,"Brisbane: Donovan Hill, 2010",Donovan Hill,720.922 DON,Sydney,9/21/2015,
Double skin facades,,"Munich: Gutner, 1998",Double-Skin Facades|Building Skins|Office Buildings,690.12 DOU,Sydney,7/08/2006,
Down to earth : Australian landscapes,"Woldendorp, Richard|Winton, Tim","Perth: Fremantle Arts Press, 1999",Australia - Pictorial Works,919.4 WOL,Sydney,25/05/2005,
Downtown high rise versus suburban low rise living: a plot survey on urban sustainability,"Du, Peng|Wood, anthony|Council on Tall Buildings and Urban Habitat (CTBUH)","[Chicago]: CTBUH, 2017",High Rise Buildings|Urban Planning,720.483 CTBUH,Brisbane,,28/02/2018
Draft Central Sydney Local Environmental Plan 1996 / Draft Central Sydney Development Control Plan 1996,Sydney City Council,"Sydney: Sydney City Council, 1996",Urban Planning - Sydney|Local Environmental Plans (LEP)|Development Control Plans (DCP),Reference,Sydney,27/05/2005,
Draft Russell master plan: background report: completing the triangle,,"Canberra: National Capital Planning Authority, 1994",Defence Buildings|Government Buildings - Australia,Archives SYD01511322,Sydney,12/21/2010,
Draft Russell master plan: explanatory report: completing the triangle,,"Canberra: National Capital Planning Authority, 1994",Defence Buildings|Government Buildings - Australia,Archives SYD01511322,Sydney,12/21/2010,
Drawdown: the most comprehensive plan ever proposed to roll back global warming,"Hawken, Paul","London: Penguin Books, 2018",Global Warming|Climatic Changes,363.7387 HAW,Sydney,22/08/2019,
Drawing climate: visualising invisible elements of architecture,"Ryan, Daniel (ed) et al","Basel: Birkha¨user, 2021",Climate|Architecture and Climate,720.47 DRA,Brisbane|Sydney,6/28/2022,6/28/2022
Drawing for interior design,"Plunkett, Drew","London: Laurence King, 2009",Interior Design|Drawing,729.028 PLU,Brisbane,,26/10/2009
Drawing: the motive force of architecture,"Cook, Peter","London: Wiley, 2008",Drawing|Architectural Design,720.222 COO,Sydney,5/05/2010,
Drawings from the Le Corbusier archive,,,"Architecture, Modern - 20th Century|Le Corbusier",720.92 LEC,Sydney,1/11/2007,
Dreamscapes and artifical architecture: imagined interior design in digital art,"Klanten, Robert (ed)","Berlin: Gestalten, 2020",Digital Art|Interior Design,745.2 DRE,Sydney,3/11/2020,
Drive: the surprising truth about what motivates us,"Pink, Daniel H","New York: Riverhead Books, 2009",Leadership|Motivation,153.1 PIN,Sydney,29/04/2019,
Drivers of change,"Luebkeman, Chris","London: ARUP, 2008",Social Change|Climate Change|Arup,303.490905 DRI,Brisbane,,4/09/2008
DRL ten : a design research compendium,"Architectural Association (Great Britain)|Verebes, Tom","London : AA Publications, 2008",Architectural Design - Great Britain|Architecture and Technology|Design Documentation|Design Research Lab (DRL),729 ARC,Sydney,15/07/2010,
Durable and sustainable construction materials,"Hendriks, F","Netherlands: Aeneas, 2000",Concrete|Construction Materials|Embodied Energy|Environmentally Sustainable Design (ESD)|Steel|Timber|Masonry|Gypsum|Glass|Paints|Plastics,691 DUR,Sydney,7/08/2006,
Durbach Block,"Margalit, Harry|Goad, Philip","Sydney: Pesaro Publishing, 1999",Architects - Australia|Architecture - Australia|Durbach Block,720.922 DUR,Brisbane|Sydney,21/04/2009,
Dutch design meets bamboo,"Van Der Lugt, Pablo","The Netherlands: [Z]oo Producties, 2007",Bamboo in Architecture|Design and Decoration|Building Materials - Sustainable,745.51,Brisbane,,2/11/2007
East Circular Quay 1788 - 1998,"Fitzgerald, Shirley","Sydney: City of Sydney, 1998",Sydney - History,994.41 EAS,Sydney,7/12/2006,
Easy feng shui,,"Sydney: Australian Publishing Company, [199?]",Feng Shui,729 EAS,Sydney,7/08/2006,
Eco skyscrapers,"Yeang, Ken","Mulgrave, Vic. : Images Publishing, 2007","Environmentally Sustainable Design (ESD)|Skyscrapers|Yeang, Ken",720.483 YEA,Brisbane,,25/02/2009
Eco-friendly houseplants : 50 indoor plants that purify the air in homes and offices,"Wolverton, B C","London: Weidenfeld & Nicholson, 1996",Environmentally Sustainable Design (ESD)|Plants|Air Quality|Office Fitouts,635.965 WOL,Sydney,5/04/2007,
Ecological architecture,"Uffelen, Chris van","Berlin: Braun Publishing AG, 2009",Environmentally Sustainable Design (ESD) - Case Studies|Environmental Responsibility,720.47 UFF,Brisbane|Sydney,23/06/2009,9/06/2009
Ecological houses,"Rich, Sarah","Kempen, Germany: TeNeues, 2008",Architect Designed Houses|Energy Conservation|Environmental Design|Environmentally Sustainable Design (ESD)|Houses - Design and Construction,720.47 RIC,Brisbane|Sydney,15/01/2009,20/06/2008
Economics of staging the Olympics : a comparison of the games 1972-2008,"Preuss, Holger","Cheltenham, UK : Edward Elgar, 2004",Olympic Games - Masterplanning,796.48 PRE,Sydney,1/11/2007,
Eco-resorts: planning and design for the tropics,"Bromberek, Zbigniew","Oxford: Architectural Press, 2009",Eco Resorts|Eco Tourism,728.5047 BRO,Sydney,11/03/2009,
EDAW the integrated world:  landscape design and sustaining environments,,"Tokyo: Process Architecture, 1994",EDAW|Landscape Design|Parks|Urban Planning,712 EDAW,Sydney,13/12/2006,
Edge city: driving the periphery of Sao Paulo,"McGuirk, Justin","[Moscow]: Strelka Press, 2012",,Strelka Press,Sydney,3/10/2015,
Eduardo Souto Moura,"Trigueiros, Luiz","Lisbon: Blau Publishers, 1997","Moura, Eduardo Souta de",720.92 MOU,Brisbane,,Jan-98
Educating architects,"Pearce, Martin|Toy, Maggie","London: Academy Editions, 1995",Architectural Practice,720.1 EDU,Brisbane,,Jan-96
Education futures,"Donaldson, Ross|Woods Bagot","Melbourne: Woods Bagot, 2006",Educational Buildings|Woods Bagot,727 DON,Brisbane,,22/06/2007
Educational environments,"Yee, Roger",,Educational Buildings|Schools|University Buildings,727 YEE,Sydney,15/01/2008,
Educational environments No 2,"Yee, Roger",,Educational Buildings|Schools|University Buildings,727 YEE,Sydney,15/01/2008,
Edwin Lutyens,,"[London: St Martin's Press, 1979]","Lutyens, Edwin",720.92 LUT,Brisbane,,11/24/2014
Eero Saarinen,"Merkel, Jayne","London: Phaidon, 2005","Saarinen, Eero",720.92 SAA,Sydney,11/19/2013,
El Croquis  No .93 : Steven Holl 1996 -1999,,"Madrid: El Croquis, 1998","Holl, Steven",720.92 HOL,Brisbane|Sydney,30/05/2017,Oct-99
El Croquis  No 150: David Chipperfield 2006 - 2010,,"Madrid: El Croquis, 2010","Chipperfield, David|Architects - UK|Architecture, Modern - 20th Century",720.922 CHI,Sydney,30/05/2017,
El Croquis  No 87: David Chipperfield 1991-1997,,"Madrid: El Croquis, 1997","Chipperfield, David|Architects - UK|Architecture, Modern - 20th Century",720.922 CHI,Brisbane,,30/05/2017
El Croquis No 112/113: Jean Nouvel 1994 - 2002,,"Madrid: El Croquis, 2002","Architects - France|Architecture, Modern - 20th Century|Nouvel, Jean",720.92 NOU,Sydney,30/05/2017,
El Croquis No 118,,"Madrid: El Croquis, 2003",Abalos & Herreros|Cero 9|No.mad,720.922 CRO,Brisbane,,5/31/2004
El Croquis No 121/122: SANAA : Ocean of Air Kazuyo Sejima + Ryue Nishizawa 1998-2004,,"Madrid: El Croquis, 2004","Architects - Japan|Architecture - Japan|Architecture - Modern - 21st Century|SANAA (Kazuyo Sejima + Ryue Nishizawa)|Sejima, Kazuyo|Nishizawa, Ryue",720.952 SAN,Brisbane,,30/05/2017
El Croquis No 158: John Pawson 2006-2011,,"Madrid: El Croquis, 2011","Pawson, John",720.92 PAW,Sydney,1/25/2012,
El Croquis No 162 RCR Arquitectes 2007- 2012 - Poetic abstraction,,,RCR Architectes,720.922 RCR,Brisbane,,4/07/2014
"El Croquis No 52, 73, 103: Zaha Hadid 1983 - 2004",,"Madrid: El Croquis, 2004","Hadid, Zaha",720.92 HAD,Brisbane|Sydney,9/03/2012,30/05/2017
El Croquis No 74/75 : Frank O. Gehry 1991-1995,,"Madrid: El Croquis, 1995","Gehry, Frank",720.92 GEH,Sydney,2/08/2006,
El Croquis No 80 : Daniel Libeskind 1987-1996,,"Madrid: El Croquis, 1996","Architecture, Modern - 20th Century|Libeskind, Daniel",720.92 LIB,Sydney,19/01/2006,
El Croquis No 86 and 111: MVRDV 1991 - 2002 - stacking and layering,,"Madrid: El Croquis, 2003","Architects - Netherlands|Architecture, Modern - 20th Century|De Vries, Nathalie|Maas, Winy|Van Rijs, Jacob",720.922 MVR,Brisbane,,30/05/2017
